iteration,policy_loss,value_loss,total_loss,win_rate,draw_rate,avg_plies,red,black,draw_games,buf_win_pct,buf_loss_pct,buf_draw_pct,sims,buffer
85,7.5925,0.6122,8.2047,0.0,1.0,200,0,0,8,31.2,30.1,38.6,25,10546
86,7.2587,0.4872,7.7459,0.12,0.88,177,1,0,7,24.7,23.9,51.4,31,13380
87,6.9821,0.4064,7.3885,0.25,0.75,174,1,1,6,20.7,20.0,59.3,37,15000
88,6.7691,0.246,7.0151,0.12,0.88,196,1,0,7,12.5,12.2,75.4,43,15000
89,6.5939,0.067,6.6609,0.12,0.88,177,0,1,7,3.4,3.3,93.3,50,15000
90,6.4075,0.0526,6.4601,0.0,1.0,200,0,0,8,2.7,2.6,94.7,56,15000
91,6.2331,0.0396,6.2727,0.0,1.0,200,0,0,8,2.0,2.0,96.0,62,15000
92,6.1074,0.0197,6.1272,0.12,0.88,171,1,0,7,1.0,1.0,98.0,68,15000
93,5.9731,0.0292,6.0023,0.25,0.75,173,1,1,6,1.5,1.4,97.1,75,15000
94,5.863,0.0262,5.8892,0.0,1.0,200,0,0,8,1.3,1.3,97.3,81,15000
95,5.7775,0.027,5.8046,0.0,1.0,180,0,0,8,1.3,1.3,97.3,87,15000
96,5.7105,0.0273,5.7378,0.0,1.0,198,0,0,8,1.3,1.3,97.3,93,15000
97,5.6469,0.0135,5.6604,0.0,1.0,196,0,0,8,0.7,0.7,98.6,100,15000
98,5.6033,0.0,5.6033,0.0,1.0,199,0,0,8,0.0,0.0,100.0,100,15000
99,5.5632,0.0,5.5632,0.0,1.0,200,0,0,8,0.0,0.0,100.0,100,15000
